Track_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity
Deep in Love (Radio Edit),0.734,0.794,-5.897,0.0414,0.0436,1.38e-06,0.214,0.368,128.084,208493,49
Zaleilah,0.692,0.816,-4.724,0.0516,0.0265,0.000684,0.32,0.794,126.989,218480,33
Sweet Child O' Mine,0.454,0.91,-7.766,0.0448,0.0866,0.0996,0.116,0.629,125.116,354520,82
Immigrant Song - Remaster,0.564,0.932,-10.068,0.0554,0.013,0.169,0.349,0.619,112.937,146250,77
Sun Is Up (Cahill Radio Edit),0.655,0.914,-3.774,0.127,0.00206,0.0215,0.35,0.713,127.971,205498,31
Iconic,0.62,0.777,-5.674,0.238,0.000714,0.00882,0.147,0.6,126.986,313618,13
I Follow Rivers - The Magician Remix,0.786,0.696,-5.796,0.0428,0.0234,0.0019,0.0839,0.306,121.974,280070,72
Where Them Girls At (feat. Nicki Minaj & Flo Rida),0.666,0.876,-3.078,0.0414,0.055,0,0.259,0.552,129.884,194840,73
Fiesta - Michael Mind Project Radio Edit,0.597,0.922,-5.69,0.149,0.0179,0,0.364,0.726,127.844,234429,47
To the People - DJ Antoine vs Mad Mark 2K13 Radio Edit,0.77,0.817,-5.485,0.0589,0.0472,0,0.272,0.961,122.017,197059,3
Wake Me Up,0.532,0.783,-5.697,0.0523,0.0038,0.0012,0.161,0.643,124.08,247427,26
Around the World - Radio Mix,0.645,0.88,-4.876,0.251,0.0259,0,0.491,0.532,129.976,167379,5
Get It Started (feat. Shakira),0.693,0.849,-3.259,0.189,0.0668,0,0.69,0.599,128.971,245920,33
A Night Like This - Radio Edit,0.68,0.871,-2.69,0.0349,0.00333,3.04e-05,0.184,0.401,129.978,188077,15
4 AM - Radio Version,0.586,0.884,-5.73,0.188,0.00151,0,0.328,0.285,132.03,196972,29
Can't Stop Me - Radio Edit,0.44,0.83,-4.485,0.234,0.109,0,0.0456,0.378,129.963,201279,22
T-Rex - Mdk Edit,0.766,0.945,-2.517,0.0667,0.00992,0.493,0.101,0.359,130.009,165045,19
Miami 2 Ibiza - Swedish House Mafia vs. Tinie Tempah,0.736,0.929,-5.89,0.0674,0.00237,1.11e-05,0.402,0.658,125.03,206461,56
Party Rock Anthem,0.751,0.736,-4.168,0.156,0.0206,0,0.265,0.352,130.014,262147,58
Yee,0.732,0.989,-4.172,0.0483,0.102,0.748,0.0551,0.684,127.984,210000,21
Rosana,0.673,0.704,-6.81,0.251,0.000952,0.00085,0.133,0.729,171.898,234208,48
Wild One Two (feat. David Guetta, Nicky Romero & Sia) - Single Version,0.703,0.684,-6.532,0.0778,0.00164,0.000378,0.0744,0.217,126.027,346930,34
Insomnia,0.641,0.915,-5.356,0.0679,0.0105,0.714,0.0916,0.484,129.933,209797,48
Blackout,0.662,0.819,-4.609,0.124,0.00537,0,0.0498,0.801,122.951,210200,54
Night to Remember - Original Mix,0.754,0.815,-5.957,0.0566,0.00613,0.00813,0.0571,0.395,127.994,270309,5
Woke Up Like This (feat. Storm) [DJ Antoine Vs Mad Mark 2K15 Radio Edit],0.709,0.905,-4.829,0.0618,0.109,2.38e-06,0.0809,0.893,130.087,188222,23
Memories (feat. Kid Cudi),0.546,0.916,-3.932,0.255,0.00144,4.34e-06,0.251,0.375,129.983,210853,78
Miss Sunshine - Radio Edit,0.681,0.924,-7.387,0.0621,0.0433,0,0.123,0.746,129.964,202997,22
Club Go Mad (Video Edit),0.738,0.901,-4.792,0.0335,0.039,0,0.0801,0.963,128.017,197155,1
Ready or Not Here I Come - Radio Edit,0.611,0.896,-4.844,0.0852,0.00396,0.000244,0.341,0.124,128.03,179002,43
Stereo Love - Radio Edit,0.799,0.783,-3.896,0.0322,0.0346,0.0186,0.0757,0.586,127.041,184573,65
Radio Hardcore - Video Edit,0.592,0.942,-6.472,0.105,0.026,0,0.31,0.583,149.966,191067,35
Sexy Bitch (feat. Akon),0.813,0.627,-5.018,0.0486,0.076,0.000616,0.131,0.801,130.011,195853,1
We'll Be Coming Back (feat. Example),0.596,0.952,-4.364,0.0873,0.00131,0,0.598,0.571,127.945,234360,64
Single Ladies - Bodybangers Radio Edit,0.778,0.783,-6.557,0.059,0.00249,2.42e-05,0.332,0.534,128.019,218186,13
Feed Me Diamonds - Video Mix,0.55,0.598,-5.42,0.0348,0.0321,0,0.207,0.249,130.03,204927,25
Party Animal - Mike Candys Radio Edit,0.645,0.946,-5.304,0.0704,0.0415,5.31e-05,0.131,0.427,130.003,194931,16
Non Non Non - Rob & Chris Remix,0.858,0.758,-7.05,0.0493,0.024,0.366,0.406,0.751,129.993,300679,22
Together Again - Extended Vocal Mix,0.745,0.881,-5.157,0.0466,0.0051,0.789,0.0443,0.619,130.003,267308,13
Summer of Love,0.56,0.731,-5.727,0.0481,0.00311,1.79e-05,0.201,0.519,127.962,215733,28
One - Radio Edit,0.802,0.781,-6.564,0.0368,0.0075,0.825,0.147,0.622,125.026,169920,60
Got 2 Luv U (feat. Alexis Jordan),0.605,0.793,-3.084,0.297,0.0825,0,0.124,0.647,184.032,196640,49
Got 2 Luv U (feat. Alexis Jordan),0.605,0.793,-3.084,0.297,0.0825,0,0.124,0.647,184.032,196640,49
Got 2 Luv U (feat. Alexis Jordan),0.605,0.793,-3.084,0.297,0.0825,0,0.124,0.647,184.032,196640,49
Got 2 Luv U (feat. Alexis Jordan),0.605,0.793,-3.084,0.297,0.0825,0,0.124,0.647,184.032,196640,49
Booyah - Radio Edit,0.559,0.916,-3.068,0.0626,0.0453,1.26e-05,0.224,0.195,128.012,215295,37
Crank It Up (feat. Akon),0.725,0.879,-3.336,0.0551,0.0119,3.5e-05,0.367,0.638,128.03,192667,49
Destination - Michael Mind Edit,0.654,0.868,-5.181,0.0387,0.000485,9.02e-05,0.34,0.659,129.978,194642,38
Turn Up The Love,0.752,0.872,-4.186,0.117,0.12,0,0.234,0.677,123.888,195960,3
Pana La Sange,0.533,0.723,-4.119,0.0679,0.299,0,0.268,0.299,142.023,239789,41
Mai Stai,0.518,0.784,-5.048,0.0783,0.139,0,0.113,0.466,88.952,227839,25
I Feel It Coming,0.769,0.813,-5.9,0.143,0.429,0,0.0952,0.567,92.985,269187,2
Eye of the Tiger,0.817,0.599,-9.249,0.0328,0.132,0.000311,0.0873,0.548,108.873,245640,76
La Bamba,0.348,0.751,-12.823,0.0494,0.0699,0.000738,0.208,0.886,156.509,172733,59
The Only Exception,0.452,0.563,-6.607,0.0272,0.144,0,0.143,0.209,137.715,267653,63
Love Love Peace Peace,0.601,0.811,-5.779,0.158,0.304,0,0.523,0.5,106.977,270000,36
From Eden,0.399,0.672,-5.506,0.05,0.584,2.45e-05,0.118,0.285,142.215,283467,60
Cherry Wine - Live,0.415,0.11,-14.901,0.0388,0.951,0.00234,0.0962,0.234,81.876,240147,62
Some Nights,0.672,0.738,-7.045,0.0506,0.0178,6.75e-05,0.0927,0.392,107.938,277040,72
Break My Heart (feat. Eli),0.443,0.459,-7.463,0.0617,0.348,5.46e-05,0.0958,0.177,174.57,212197,19
Vidlik,0.714,0.182,-12.267,0.537,0.846,0.0656,0.102,0.155,116.993,279980,41
Skeletons,0.475,0.652,-7.38,0.0383,0.0388,5.19e-06,0.0999,0.3,89.821,179541,38
Grab the Moment,0.693,0.612,-6.665,0.0941,0.117,0,0.0905,0.316,104.014,175083,44
Occidentali's Karma - Radio Edit,0.669,0.832,-4.014,0.075,0.0424,3.89e-06,0.111,0.582,114.046,217625,49
Just the Way You Are,0.637,0.843,-5.413,0.0432,0.0151,0,0.0876,0.434,109.012,220733,82
It's Gotta Be You,0.422,0.745,-4.632,0.0378,0.221,0,0.0981,0.588,95.487,193447,64
Don't Come Easy,0.328,0.631,-4.346,0.0476,0.26,0,0.269,0.546,156.559,185237,44
Run Away - Radio Edit,0.66,0.931,-3.038,0.0764,0.0103,0,0.181,0.362,129.981,177539,51
Weather With You,0.643,0.614,-12.878,0.0279,0.25,7.17e-06,0.214,0.891,93.982,224467,70
Sign of the Times,0.518,0.575,-4.616,0.0302,0.0259,0,0.109,0.209,120.019,340707,71
Fall At Your Feet,0.65,0.371,-13.623,0.026,0.457,0.0116,0.102,0.561,102.583,198800,62
Look After You,0.447,0.592,-3.015,0.0319,0.0575,4.47e-06,0.13,0.283,78.039,266773,66
Misery Business,0.517,0.906,-3.677,0.0735,0.00272,9.26e-06,0.113,0.731,172.977,211520,72
Ain't It Fun,0.61,0.893,-3.681,0.0921,0.154,4.41e-05,0.021,0.673,104.031,296520,74
Hard Times,0.695,0.818,-5.379,0.0334,0.00647,4.87e-06,0.0219,0.916,119.965,182693,58
Sweet Child O' Mine,0.449,0.901,-7.711,0.0526,0.141,0.0675,0.128,0.696,125.148,356400,19
Where Did The Party Go,0.631,0.891,-4.202,0.0998,0.00368,0.00124,0.157,0.677,119.96,243040,54
T.N.T.,0.754,0.759,-5.218,0.302,0.153,0.000108,0.101,0.435,126.366,214667,78
Highway to Hell,0.574,0.913,-4.793,0.133,0.061,0.00158,0.156,0.423,115.728,208400,83
Thunderstruck,0.502,0.89,-5.175,0.0364,0.000147,0.0117,0.217,0.259,133.52,292880,83
Starman - Single Mix,0.307,0.429,-11.054,0.0333,0.211,0,0.391,0.582,199.787,254720,42
Don't You Want Me,0.731,0.738,-8.125,0.0377,0.184,0,0.214,0.958,117.656,236920,75
Young, Wild & Free (feat. Bruno Mars),0.715,0.655,-6.425,0.137,0.0525,0,0.115,0.531,95.078,207333,78
Stronger,0.617,0.717,-7.858,0.153,0.00564,0,0.408,0.49,103.992,311867,2
24K Magic,0.818,0.803,-4.282,0.0797,0.034,0,0.153,0.632,106.97,225983,79
Daddy Cool,0.763,0.777,-6.932,0.0364,0.281,0.78,0.134,0.929,124.431,208600,72
Heaven Is a Place on Earth,0.64,0.852,-8.119,0.0345,0.0243,1.82e-06,0.0497,0.793,122.902,246520,70
One More Time,0.611,0.697,-8.618,0.133,0.0193,0,0.332,0.476,122.752,320357,80
One Dance,0.791,0.619,-5.886,0.0532,0.00784,0.00423,0.351,0.371,103.989,173987,3
Shake It,0.618,0.955,-3.836,0.0798,0.00221,3.09e-06,0.486,0.79,150.034,179947,70
Hotel Room Service,0.849,0.599,-8.164,0.227,0.00301,0.000249,0.0763,0.761,126.003,238507,63
It's Gonna Be Me,0.644,0.874,-4.666,0.0801,0.0459,2.24e-06,0.0584,0.882,165.09,191040,61
Unde,0.697,0.705,-5.455,0.0595,0.174,3.97e-06,0.144,0.329,135.029,225222,20
Smells Like Teen Spirit,0.502,0.912,-4.556,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,301920,77
Antiexemplu,0.731,0.737,-5.616,0.0743,0.175,5.8e-06,0.236,0.618,119.875,212000,19
Shout, Pts. 1 & 2,0.489,0.866,-7.433,0.0933,0.753,0,0.876,0.416,138.63,268560,62
I'm Gonna Be (500 Miles),0.851,0.551,-5.177,0.0396,0.151,0,0.0827,0.807,131.922,219467,74
Don't Stop Believin',0.491,0.802,-7.106,0.0392,0.25,0,0.387,0.472,119.25,248907,74
Defying Gravity - From "Wicked" Original Broadway Cast Recording/2003,0.333,0.377,-8.282,0.0343,0.722,0,0.0333,0.245,87.613,353920,58
