Track_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity
Hey Hey Hey (Pop Another Bottle) (feat. Swift K.I.D & Dev),0.843,0.834,-5.427,0.119,0.0624,0,0.897,0.969,128.025,185649,43
Rack City,0.929,0.339,-10.881,0.371,0.0373,1.96e-05,0.187,0.273,98.986,203200,62
Tacatà - Radio Edit,0.812,0.857,-6.034,0.103,0.0083,0,0.354,0.651,126.951,210000,48
The Riddle Anthem - Radio Edit,0.653,0.789,-5.026,0.0312,0.0137,3.09e-05,0.374,0.593,127.013,171533,36
Meet Me in Paris - Radio Edit,0.729,0.732,-4.303,0.0517,0.0106,0,0.0951,0.547,127.914,200920,14
Disco Pogo - Atzen Musik Mix,0.654,0.771,-4.844,0.0928,0.00898,0,0.0966,0.286,131.876,204115,38
More - RedOne Jimmy Joker Remix,0.551,0.893,-2.628,0.0543,0.00166,0,0.348,0.794,125.083,219987,68
Morgens immer müde - Single Version,0.93,0.584,-8.688,0.0443,0.0197,0.00227,0.102,0.923,130.024,203240,13
Higher Ground - Flamemakers Radio Edit,0.573,0.817,-5.51,0.0534,0.0199,0,0.69,0.503,128.023,178321,15
My Party (Radio Version),0.732,0.772,-5.779,0.241,0.0209,0.00152,0.878,0.573,128.038,180000,31
Ebony Eyes (feat. A-Class & Sean Paul) - Original Edit,0.693,0.921,-3.457,0.191,0.136,0,0.591,0.651,122.134,196617,33
Wicked Wonderland,0.699,0.812,-5.772,0.135,0.00461,0.0161,0.397,0.749,127.916,217270,49
Freed From Desire - Radio Edit,0.672,0.899,-4.197,0.0473,0.00321,1.96e-05,0.34,0.488,127.967,183089,35
Sweet Dreams (Are Made of This) - Remastered,0.692,0.711,-7.498,0.0317,0.225,0,0.12,0.875,125.135,216933,82
Rock and Roll - 1990 Remaster,0.327,0.895,-7.428,0.0367,0.000564,0.0159,0.104,0.898,169.39,219800,58
Talk Dirty (feat. 2 Chainz),0.76,0.652,-7.321,0.232,0.0348,0,0.307,0.759,100.315,177685,56
La La La,0.772,0.65,-5.202,0.0306,0.107,1.13e-06,0.0905,0.262,125.082,222200,62
Play Hard (feat. Ne-Yo & Akon),0.691,0.921,-1.702,0.0533,0.173,0,0.331,0.8,130.072,201000,56
Feel This Moment (feat. Christina Aguilera),0.673,0.758,-3.632,0.158,0.039,0,0.341,0.542,135.956,229507,55
