danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity
medium,high,low,low,low,low,medium,120.895,202160,medium
medium,high,low,low,low,low,medium,127.593,189787,medium
medium,high,low,low,low,low,low,98.705,246413,medium
medium,high,low,low,low,low,medium,123.429,197080,medium
medium,high,low,low,low,low,high,132.385,208493,medium
medium,high,low,low,low,low,high,96.436,213880,medium
medium,high,low,low,low,low,low,95.319,190213,medium
medium,medium,low,low,low,low,medium,103.844,232947,medium
medium,high,low,low,low,low,high,85.538,255453,medium
medium,high,low,low,low,low,medium,106.634,280907,medium
medium,high,low,low,low,low,medium,124.99,202493,medium
medium,high,low,low,low,low,medium,94.37,205107,medium
medium,high,low,low,low,medium,medium,143.853,193653,medium
medium,high,low,low,low,low,low,115.929,205080,low
low,high,low,low,low,medium,medium,171.765,213520,medium
medium,high,low,low,low,low,medium,160.033,240387,low
low,high,low,low,low,low,medium,187.936,284280,low
medium,high,low,low,low,low,low,127.892,238720,low
medium,medium,low,low,low,low,medium,152.059,218520,low
medium,high,low,low,low,low,low,138.002,285613,low
medium,medium,low,low,low,low,low,137.05,163240,low
medium,medium,low,low,low,low,low,142.008,306147,low
low,medium,low,low,low,low,low,136.65,284213,low
medium,low,low,high,low,medium,medium,151.815,154973,low
high,medium,low,low,low,low,medium,106.028,204502,low
medium,high,low,low,low,low,high,80.924,288600,high
medium,medium,low,low,low,low,medium,144.937,194897,high
high,high,low,low,low,low,high,101.018,223413,high
high,high,low,low,low,low,medium,104.043,184134,low
high,medium,low,low,low,low,high,100.041,211475,low
high,high,low,low,low,low,high,97.985,233833,low
high,high,low,low,low,low,high,121.03,193613,high
medium,medium,low,low,low,low,low,105.969,221904,high
high,medium,low,low,low,low,medium,160.033,326933,low
medium,high,low,low,low,low,medium,123.146,220293,high
high,medium,low,low,low,low,high,117.959,180757,high
high,high,low,low,low,low,medium,112.956,223504,high
high,medium,low,low,low,low,medium,122.863,212459,high
medium,medium,low,low,low,low,medium,103.019,247160,high
high,high,low,low,low,low,medium,155.096,182707,low
high,medium,medium,low,low,low,low,80.126,219080,high
high,high,low,low,low,low,high,98.064,216409,high
high,medium,low,low,low,low,medium,102.013,210091,low
high,high,low,low,low,low,medium,119.041,225850,medium
high,high,low,medium,low,low,medium,104.066,230813,high
medium,medium,medium,medium,low,low,medium,85.227,216391,high
medium,medium,low,low,low,low,medium,99.968,220781,high
high,high,low,low,low,medium,high,101.982,167059,medium
high,medium,medium,low,low,low,low,150.062,204600,medium
high,high,low,medium,low,low,medium,91.953,272653,medium
high,medium,low,medium,low,low,high,98.938,165387,high
medium,medium,low,low,low,low,medium,127.884,208133,high
medium,high,low,low,low,low,high,139.048,189693,low
medium,high,low,low,low,medium,high,116.947,191293,medium
medium,high,low,low,low,medium,medium,127.647,223613,medium
medium,medium,low,low,low,medium,medium,97.518,243933,medium
medium,high,low,low,low,low,high,112.056,183893,high
medium,high,low,low,low,medium,low,136.617,196947,medium
medium,high,low,low,low,low,low,146.994,297427,high
medium,high,low,low,low,low,medium,160.02,192120,medium
medium,high,low,low,low,low,medium,159.888,166573,low
medium,high,low,low,low,medium,high,179.947,240833,medium
low,high,low,low,low,low,medium,161.939,210560,medium
medium,high,low,low,low,low,medium,110.976,229627,medium
medium,high,low,low,low,medium,medium,100.058,224667,medium
medium,high,low,low,low,low,medium,104.279,230995,medium
medium,high,low,low,low,low,medium,90.439,231280,medium
high,high,low,medium,low,low,high,121.047,284683,medium
medium,high,low,low,low,medium,high,130.404,177387,medium
medium,high,low,low,low,low,high,89.839,145867,high
high,high,low,low,low,low,high,126.333,254400,medium
medium,high,low,low,low,medium,high,127.206,320907,medium
medium,high,low,low,low,low,high,145.624,195307,high
medium,high,low,low,low,low,medium,113.263,139267,medium
medium,high,low,low,low,low,high,135.68,218400,low
medium,high,low,low,low,low,high,93.584,166267,high
medium,medium,low,low,low,low,low,108.431,266840,medium
medium,high,medium,low,low,low,medium,181.116,218000,low
medium,high,low,low,low,low,high,129.893,244107,medium
medium,high,low,low,low,medium,low,179.017,282920,medium
high,high,low,low,low,low,high,125.011,269773,medium
low,high,low,low,low,high,medium,134.364,210107,high
medium,medium,low,low,low,low,medium,113.618,232533,medium
medium,high,low,low,low,low,high,145.652,137240,medium
medium,high,low,low,low,low,high,140.098,188267,medium
high,medium,low,high,low,low,medium,81.308,122067,high
medium,high,low,low,low,low,high,127.689,207093,medium
medium,high,low,low,medium,low,medium,123.453,272027,high
medium,high,low,low,high,low,medium,170.083,212881,high
medium,medium,low,medium,low,low,medium,78.169,125093,high
medium,medium,low,medium,low,low,low,118.14,213937,low
high,high,low,low,low,low,high,118.006,217627,medium
high,medium,low,low,low,low,high,174.038,240893,medium
high,high,low,low,low,low,high,119.99,254587,medium
high,high,low,low,low,low,medium,100.139,254213,medium
high,medium,low,low,low,low,medium,96.962,240065,medium
medium,high,low,low,low,low,medium,151.553,270213,high
low,medium,low,low,low,low,low,149.919,203642,medium
high,medium,low,low,low,low,medium,94.959,173081,medium
high,high,low,low,medium,medium,high,100.264,235362,low
medium,high,low,low,low,medium,high,119.48,233373,high
high,medium,low,low,low,low,high,120.151,257800,high
high,high,low,low,low,low,high,128.015,232213,low
high,medium,low,medium,low,low,low,63.98,213774,medium
high,high,low,medium,low,low,medium,113.933,218947,medium
high,medium,low,low,low,medium,low,95.003,194840,medium
medium,high,low,low,low,low,medium,93.24,209558,medium
high,medium,low,medium,high,medium,medium,96.064,131250,medium
medium,high,low,low,low,low,medium,146.002,315603,medium
medium,medium,low,low,low,low,medium,92.071,182950,medium
medium,high,low,low,low,medium,medium,94.192,195560,medium
medium,high,low,low,low,low,high,100.304,203507,high
medium,medium,low,low,low,low,medium,177.964,187915,medium
medium,medium,low,medium,low,low,medium,147.787,191544,low
high,high,low,low,medium,low,medium,115.048,262957,medium
high,high,low,low,low,low,medium,155.05,216630,low
medium,medium,low,medium,low,low,low,130.022,180120,medium
high,medium,low,medium,low,low,medium,80.023,293512,medium
medium,high,low,low,low,low,high,162.01,192658,low
medium,high,low,low,low,low,high,154.876,169996,medium
high,high,low,low,low,medium,high,148.075,222093,high
low,high,low,low,low,low,medium,153.034,190640,medium
medium,medium,low,low,low,low,low,119.985,203637,medium
medium,high,low,low,low,low,medium,113.253,240800,high
high,medium,low,low,low,low,high,104.126,238747,high
medium,high,low,low,low,low,low,117.292,300400,low
low,high,low,low,low,medium,medium,136.304,223333,medium
medium,high,low,low,low,low,high,137.148,261933,high
high,high,low,medium,low,low,high,100.66,265173,low
medium,low,low,medium,low,low,medium,168.169,258613,medium
medium,medium,low,low,low,low,low,71.105,354320,low
medium,high,low,low,medium,low,medium,145.928,210373,high
low,high,low,low,low,low,medium,146.347,269920,high
medium,medium,low,low,low,medium,high,150.572,183307,high
medium,medium,low,high,low,low,low,74.541,246587,high
medium,high,low,low,low,medium,high,126.755,323000,high
high,medium,low,low,low,low,high,105.267,221640,high
medium,medium,low,low,low,low,medium,129.878,293440,high
medium,high,low,medium,low,low,medium,137.571,296200,low
medium,high,low,low,low,low,medium,163.503,262748,medium
medium,high,low,low,low,low,medium,141.466,308120,high
medium,high,low,low,low,medium,medium,118.852,250987,high
low,medium,low,medium,low,medium,low,160.9,266960,high
medium,low,low,medium,low,low,medium,93.503,206267,high
medium,high,low,low,low,low,medium,111.457,329413,medium
medium,medium,low,low,low,high,high,85.126,313840,high
medium,medium,low,medium,low,low,high,98.883,153693,high
medium,high,low,low,low,low,high,133.39,270293,low
high,high,low,low,low,low,high,116.109,160133,high
medium,high,low,low,low,low,high,140.832,147893,medium
medium,high,low,low,medium,low,medium,169.492,210160,high
medium,high,low,medium,low,low,high,119.602,179387,medium
high,high,low,low,low,low,high,136.302,222813,high
medium,high,low,low,low,low,medium,155.587,355304,medium
medium,medium,low,medium,low,low,high,83.293,264504,low
medium,medium,low,low,low,low,low,140.208,149880,high
medium,medium,low,low,low,low,medium,80.544,230480,high
high,high,low,low,low,low,high,109.535,286220,high
medium,medium,low,low,low,low,high,105.929,227267,high
high,high,low,medium,low,medium,high,138.923,199200,medium
medium,high,low,low,low,low,high,117.399,207267,high
medium,medium,low,low,low,low,high,147.462,198467,medium
medium,medium,low,low,low,low,medium,139.714,151293,high
low,high,low,low,low,low,high,94.798,198867,medium
low,medium,low,low,medium,low,low,79.026,265627,medium
medium,high,low,low,low,low,medium,160.82,253333,high
medium,high,low,low,medium,low,medium,108.9,170813,high
medium,medium,low,low,low,low,high,98.429,263333,high
low,high,low,medium,low,low,high,178.873,288160,low
medium,high,low,low,low,low,high,144.774,168840,high
medium,high,low,low,low,low,medium,125.145,258027,high
high,high,low,low,low,medium,high,113.375,188987,high
low,high,low,low,high,low,low,131.717,279973,medium
medium,medium,low,low,low,low,medium,127.62,200053,medium
high,high,low,low,low,low,high,148.217,350400,high
high,medium,low,medium,low,low,high,115.152,250400,low
medium,high,low,low,low,low,medium,99.437,274133,high
medium,medium,low,low,low,low,high,97.782,281147,low
medium,high,low,low,low,low,high,87.559,276880,high
low,high,low,low,low,medium,medium,197.462,185133,medium
high,medium,low,high,low,low,medium,81.308,122067,high
medium,medium,low,low,low,low,medium,109.837,303200,low
medium,high,medium,low,low,medium,medium,89.74,333893,high
medium,high,low,low,low,low,medium,92.037,263640,medium
high,medium,low,low,low,low,medium,176.141,295720,medium
high,medium,low,low,low,low,medium,125.232,293053,medium
high,high,low,low,low,high,high,104.844,238493,medium
medium,medium,low,low,low,low,medium,90.072,235800,medium
medium,high,low,low,low,low,medium,109.859,238880,medium
medium,medium,low,low,low,low,high,179.986,200720,medium
medium,high,low,low,low,low,high,87.183,217440,medium
high,high,low,low,low,low,high,95.48,282533,medium
medium,high,low,low,low,low,medium,77.969,222027,medium
high,medium,low,low,low,low,high,90.02,324907,medium
high,high,low,low,low,low,medium,99.031,213600,high
high,high,low,low,low,medium,high,108.037,232827,high
medium,high,low,low,low,low,medium,144.108,216512,medium
high,high,low,low,low,medium,high,127.086,236093,high
medium,high,medium,low,low,low,medium,175.868,227853,high
medium,high,medium,low,low,low,medium,84.547,273053,medium
medium,medium,low,low,low,low,medium,140.03,323480,medium
medium,high,low,low,low,low,high,99.165,236133,high
medium,medium,low,low,low,low,low,193.437,193213,high
medium,medium,low,low,low,low,low,185.571,319467,medium
high,high,medium,low,low,low,high,159.865,197760,medium
medium,high,low,low,low,high,high,153.645,213067,high
high,medium,medium,low,low,low,low,167.879,194561,high
medium,high,low,low,low,medium,high,119.955,193000,medium
high,high,low,low,low,low,high,143.011,198813,medium
high,high,low,low,low,low,high,95.044,210853,medium
high,high,low,low,low,low,high,108.048,203627,medium
medium,medium,medium,low,low,low,medium,129.37,252653,medium
high,high,low,low,low,low,high,129.989,238760,medium
high,medium,low,low,low,low,medium,85.013,237480,high
high,medium,low,medium,low,low,high,99.99,192213,high
high,medium,low,medium,low,low,high,95.01,244960,high
high,high,low,low,low,low,high,143.052,303053,high
high,high,low,low,low,medium,high,74.007,226293,medium
high,high,low,low,low,low,medium,96.009,193707,medium
high,high,low,low,low,low,high,92.074,250747,high
high,high,low,low,low,low,high,153.067,314400,medium
high,medium,low,low,low,low,high,102.017,223000,high
high,medium,low,low,low,low,high,113.046,203787,high
high,medium,low,low,low,low,medium,96.038,215360,high
high,medium,low,low,low,low,medium,76.034,229240,low
high,medium,low,low,low,low,high,120.01,244267,medium
high,medium,low,low,low,low,medium,76.035,229813,medium
high,high,medium,low,low,medium,low,145.245,247867,high
high,high,low,low,low,low,medium,119.011,242013,medium
medium,high,medium,low,low,high,medium,161.188,254040,medium
high,high,low,low,low,low,high,88.997,230200,high
high,high,low,low,low,low,high,138.009,271333,high
medium,high,low,low,low,low,high,80.984,288877,low
medium,medium,low,low,low,low,medium,98.21,206627,medium
medium,high,low,low,low,low,medium,99.643,233560,medium
high,medium,low,low,low,low,high,145.99,225205,medium
medium,high,low,low,low,low,medium,162.011,229093,high
high,medium,low,low,low,low,high,129.055,292373,high
high,medium,medium,low,low,low,medium,90.951,241307,medium
high,high,low,low,low,medium,high,148.075,222093,medium
high,high,low,low,low,low,medium,99.987,224573,high
medium,high,low,low,low,low,high,145.889,190186,medium
high,high,low,low,low,low,medium,128.029,230000,medium
high,high,low,low,low,low,medium,120.025,229973,medium
high,medium,low,low,low,low,medium,85.004,239107,medium
medium,high,low,low,low,low,medium,127.019,233688,medium
high,high,low,low,low,low,high,118.015,197987,high
high,high,low,low,low,low,high,98.018,236213,high
high,high,low,medium,low,low,high,110.024,199907,low
high,high,low,low,low,low,high,119.97,246867,medium
medium,high,low,medium,low,low,high,79.702,237173,medium
high,medium,low,low,low,medium,medium,144.09,261027,medium
high,medium,low,low,low,low,medium,144.14,263240,medium
high,high,low,low,low,low,medium,94.981,199938,high
high,high,low,low,low,low,low,91.031,182307,high
high,high,medium,low,low,low,medium,92.965,243013,low
medium,high,low,low,low,low,high,144.036,221253,medium
high,high,low,low,low,medium,high,110.002,198960,medium
medium,high,low,low,low,low,medium,89.338,215747,high
high,medium,low,low,low,low,high,100.315,177685,medium
medium,high,low,medium,low,low,medium,82.142,217419,medium
high,high,low,low,low,low,high,132.007,212773,medium
high,medium,low,low,low,low,high,157.147,207587,medium
high,medium,low,low,low,low,medium,140.023,260560,medium
high,high,low,low,low,low,medium,130.052,269160,medium
high,medium,low,medium,low,low,high,125.02,205680,high
high,high,low,low,low,low,high,100.972,267267,high
high,medium,low,low,low,low,medium,134.972,219307,medium
medium,high,low,low,low,medium,medium,103.992,311867,medium
medium,high,medium,low,low,medium,medium,82.962,207000,low
medium,high,medium,low,low,low,medium,92.88,207401,low
medium,high,low,low,low,high,high,126.03,230747,high
high,high,low,low,low,low,high,129.996,179640,high
high,high,low,low,low,low,high,132.032,220227,high
high,medium,low,low,low,low,high,96.0,204285,medium
high,medium,low,low,low,low,high,84.009,274947,medium
high,high,low,low,low,low,high,112.997,182627,medium
medium,medium,low,low,low,low,medium,175.973,214787,medium
high,high,low,low,low,low,high,120.032,199693,low
high,medium,low,low,low,low,low,75.003,212920,medium
high,medium,low,medium,low,low,medium,95.002,242733,high
high,high,low,low,low,low,high,119.001,237200,medium
medium,medium,low,low,low,low,low,104.058,262693,high
high,high,low,low,low,low,high,99.816,257333,medium
high,high,low,low,low,low,high,103.005,226107,medium
medium,high,medium,medium,low,low,high,188.772,219773,medium
medium,high,low,medium,low,low,medium,81.813,269160,medium
high,high,low,low,low,low,high,151.486,221840,high
high,medium,low,low,low,low,medium,148.075,299333,medium
medium,high,medium,low,low,medium,high,84.789,216933,high
medium,high,low,low,low,low,high,92.136,329627,medium
medium,high,low,low,low,low,high,178.085,228827,high
medium,high,low,low,low,low,medium,92.943,185360,high
high,medium,low,low,low,high,medium,86.443,242200,medium
high,high,low,low,low,low,high,114.989,270627,low
high,high,low,low,low,low,high,95.051,206200,high
high,high,low,low,low,high,medium,129.969,213293,high
high,high,low,low,low,medium,medium,129.96,214760,medium
high,medium,low,low,low,low,low,140.005,252520,high
medium,medium,low,low,low,medium,medium,80.003,231240,high
high,medium,low,low,low,low,low,131.983,225493,medium
high,medium,medium,low,low,low,high,80.545,190667,medium
medium,medium,medium,low,low,medium,medium,80.021,253707,medium
high,high,low,low,low,medium,medium,97.163,203627,medium
high,high,low,medium,low,low,high,177.87,211120,high
high,high,low,low,low,low,medium,101.868,263227,high
high,medium,low,low,low,low,low,135.975,244213,medium
high,high,low,low,low,low,medium,100.01,258360,medium
high,medium,low,low,low,low,high,96.99,216360,medium
high,medium,low,low,low,medium,medium,139.982,214726,medium
high,high,low,medium,low,low,high,107.077,227867,low
high,medium,low,low,low,low,high,82.985,271160,medium
medium,high,low,low,low,low,medium,97.967,178808,medium
high,medium,low,low,low,low,medium,93.001,237840,medium
high,high,low,low,low,low,high,121.057,232000,medium
medium,high,low,low,low,low,medium,77.1,227120,low
high,high,low,low,low,low,high,124.99,199987,high
high,medium,low,low,low,low,medium,125.999,234000,medium
high,high,low,low,low,low,medium,94.948,270507,high
high,high,low,low,low,medium,medium,104.999,235187,medium
high,high,low,low,low,high,high,124.043,229360,high
medium,high,low,low,low,low,high,129.972,204053,medium
medium,high,low,low,low,medium,high,78.946,240760,medium
high,medium,low,low,low,low,medium,119.988,272080,high
medium,high,low,low,low,low,medium,210.857,225560,medium
high,high,low,low,low,low,medium,103.683,229360,medium
high,high,low,low,low,low,high,143.072,206307,high
high,medium,low,low,low,low,low,185.023,212947,high
medium,high,low,low,low,medium,high,172.155,204040,low
high,high,low,low,low,low,medium,102.99,219306,high
medium,high,low,low,low,low,medium,174.028,275987,high
high,medium,low,low,low,low,medium,99.009,246960,medium
high,medium,low,low,low,low,high,119.995,262907,low
medium,high,low,low,low,low,medium,123.055,258827,high
high,medium,low,low,low,low,high,150.072,217893,medium
high,high,low,low,low,low,high,130.009,225373,high
high,high,low,low,low,medium,high,122.98,243133,medium
high,high,low,medium,low,low,high,100.202,211666,medium
high,medium,low,low,low,low,high,125.04,218573,high
high,medium,low,low,low,low,medium,98.02,229080,medium
high,medium,low,low,low,low,low,93.018,212280,medium
high,high,low,medium,low,low,high,140.141,221933,high
high,high,low,low,low,low,high,110.008,173027,high
medium,medium,low,low,low,low,low,120.818,275933,medium
high,medium,low,low,low,low,medium,104.987,238800,medium
high,medium,low,low,low,low,medium,80.067,227960,low
high,medium,low,low,low,low,medium,145.171,265333,medium
medium,high,low,low,low,low,medium,159.841,338853,low
high,medium,low,low,low,low,medium,75.889,262773,medium
medium,medium,low,low,low,low,low,118.016,184400,high
high,high,low,low,high,low,high,114.759,179120,high
high,high,low,low,low,medium,high,145.042,310573,medium
high,high,low,low,low,low,medium,105.018,250373,high
high,medium,low,low,low,low,high,138.007,211200,high
high,medium,low,low,low,low,high,119.928,231933,high
high,medium,low,low,low,low,medium,112.974,251989,high
high,medium,low,low,low,low,high,139.958,234253,medium
high,medium,low,low,low,low,medium,131.497,263773,high
high,medium,low,low,low,low,low,177.959,166707,medium
medium,high,low,low,low,medium,high,160.048,191320,medium
high,high,low,medium,low,low,high,82.018,200347,medium
high,high,low,low,low,low,medium,130.021,224933,medium
medium,high,low,low,low,low,high,173.734,198267,high
medium,medium,low,low,low,low,low,101.019,334067,high
high,high,low,low,low,low,low,101.965,252440,medium
high,high,low,low,low,low,medium,82.038,274387,high
high,medium,low,low,low,low,medium,84.003,241840,medium
low,low,low,high,low,low,low,172.692,185080,medium
medium,medium,low,medium,low,low,low,125.576,180952,medium
high,medium,low,low,low,low,medium,90.007,168000,medium
medium,high,low,low,low,medium,low,119.911,180550,low
medium,medium,low,low,low,low,low,137.958,180217,low
medium,high,low,low,low,low,high,169.94,182282,low
medium,high,low,medium,low,low,medium,106.426,183613,low
medium,high,low,medium,low,medium,medium,108.212,181133,medium
high,high,low,medium,low,low,medium,124.014,181613,low
medium,high,low,low,low,low,low,107.89,180000,low
medium,high,low,low,low,low,low,101.952,186471,low
high,medium,low,low,low,low,medium,126.02,186579,low
medium,medium,low,low,low,low,medium,135.792,187735,low
medium,medium,low,low,low,low,low,86.992,179307,medium
medium,high,low,low,low,low,medium,120.035,186293,medium
medium,medium,low,high,low,low,low,75.997,180089,low
medium,high,low,low,low,low,high,121.066,197560,medium
high,high,low,low,medium,low,high,138.479,202571,low
high,high,low,low,low,low,medium,128.008,213708,medium
high,high,low,low,low,low,high,101.132,175693,medium
high,high,low,low,low,low,high,132.067,219493,high
medium,high,low,low,low,medium,high,82.336,183400,medium
medium,high,low,low,low,low,medium,96.021,202067,high
high,high,low,low,low,low,high,130.021,199480,medium
high,high,low,low,medium,low,high,135.986,222459,low
high,high,low,low,low,low,high,124.996,157438,low
high,low,low,high,low,low,medium,116.048,189107,low
medium,low,low,high,low,low,low,73.573,250107,low
high,high,low,low,low,low,high,119.516,195733,low
medium,medium,low,medium,low,low,medium,124.572,269067,high
medium,high,low,medium,low,low,high,151.377,158680,medium
medium,high,low,low,low,low,high,102.232,234853,low
medium,low,low,high,low,low,medium,98.516,162413,medium
medium,medium,low,low,low,low,low,170.266,263802,low
medium,high,low,low,low,low,high,125.064,250053,medium
medium,medium,low,low,low,low,low,126.006,299387,low
medium,low,low,high,low,low,low,116.946,283682,low
medium,low,low,high,high,low,low,75.343,280933,medium
medium,high,low,low,high,low,high,128.115,233613,low
medium,medium,low,low,low,low,high,103.26,224933,medium
medium,medium,low,low,low,low,low,104.924,251040,low
medium,high,low,low,low,low,low,133.416,319293,medium
medium,low,low,high,low,low,medium,124.937,138067,medium
medium,high,low,low,low,low,high,75.61,233600,low
medium,high,low,low,low,low,medium,111.593,329427,low
high,low,low,high,low,low,low,75.483,196227,low
high,high,low,low,low,low,medium,121.972,223533,low
medium,medium,low,high,low,low,low,90.897,292933,medium
medium,high,low,low,low,low,medium,103.524,162667,medium
medium,high,low,low,low,low,medium,116.926,300307,low
medium,high,low,low,low,low,high,131.558,213973,low
medium,low,low,medium,low,low,low,142.964,191080,low
high,high,low,medium,low,low,medium,115.689,257600,medium
high,medium,low,low,low,low,medium,98.818,189640,low
medium,medium,low,medium,low,low,medium,84.359,327867,medium
medium,high,low,low,low,low,high,126.797,129307,low
medium,high,low,low,low,low,medium,112.508,358520,medium
low,low,low,low,low,high,low,128.555,284009,low
medium,high,low,low,low,low,high,144.814,135533,low
medium,medium,low,medium,low,low,medium,130.739,222773,high
medium,high,low,low,low,low,medium,159.962,167827,low
medium,medium,low,low,low,low,medium,139.904,169293,low
medium,high,low,low,low,medium,low,135.955,220040,medium
medium,medium,low,medium,low,low,medium,148.685,222293,low
medium,medium,low,high,low,low,low,75.26,319293,medium
low,low,low,high,low,low,low,96.397,240640,low
medium,medium,low,high,low,low,low,99.128,329867,medium
medium,high,low,low,low,low,medium,148.928,153840,medium
medium,low,low,medium,low,low,low,134.806,275080,low
medium,high,low,low,low,low,medium,154.831,214627,low
medium,high,low,low,low,low,low,135.006,346693,medium
low,high,low,low,low,low,medium,154.67,246777,low
medium,high,low,low,low,low,high,110.413,185817,medium
medium,high,low,low,low,low,high,93.987,223506,low
medium,high,low,low,low,low,high,119.827,173964,medium
medium,high,low,low,low,low,medium,121.59,285360,low
medium,medium,low,low,low,low,low,111.066,265837,low
medium,high,low,low,low,low,medium,111.47,230993,low
medium,high,low,low,low,low,medium,133.022,233230,low
medium,medium,low,medium,low,low,high,86.402,173043,medium
high,high,low,low,low,low,high,116.216,240294,low
low,high,low,low,low,medium,medium,116.867,196496,low
medium,high,low,low,low,low,high,113.649,268509,low
medium,high,low,low,low,low,medium,100.831,237833,low
medium,medium,low,high,low,low,low,93.802,250630,low
medium,medium,low,low,low,low,medium,93.61,188050,low
medium,high,low,low,low,low,medium,118.949,194956,low
high,high,low,low,low,low,high,116.305,210457,low
medium,medium,low,medium,low,low,medium,102.573,198245,low
medium,high,low,low,low,low,medium,115.981,204549,low
high,high,low,high,medium,medium,high,120.07,339827,low
medium,medium,low,low,low,low,high,64.142,208051,low
high,high,low,low,low,low,high,117.066,173572,low
medium,high,low,low,low,low,high,108.974,228677,low
medium,medium,low,low,low,low,medium,106.14,187292,low
medium,medium,low,low,low,low,low,121.141,235924,low
medium,medium,low,medium,low,low,low,84.811,271961,low
medium,medium,low,low,low,medium,high,90.026,218997,low
medium,medium,low,medium,low,low,low,73.894,309745,low
medium,high,low,medium,low,low,medium,99.79,216428,low
medium,medium,low,medium,low,high,medium,121.75,234598,low
high,high,low,low,low,low,medium,100.005,337815,low
high,medium,low,low,low,low,medium,120.006,248400,low
high,medium,low,low,low,low,high,103.997,304169,low
high,high,low,medium,low,medium,high,107.994,289000,low
high,high,low,low,low,low,low,119.999,280000,low
medium,high,low,low,low,low,medium,174.011,268092,low
high,high,low,low,low,low,medium,112.934,261804,low
high,high,low,low,low,low,medium,114.49,220611,low
medium,high,low,low,low,low,medium,95.985,280605,low
high,medium,low,low,low,low,low,106.016,284166,low
high,high,low,low,low,low,high,123.984,242785,low
high,high,low,low,low,low,high,110.016,289337,low
high,high,low,low,low,low,medium,115.988,253636,low
high,high,low,low,low,low,high,104.99,184200,medium
low,high,low,low,low,low,low,158.718,295373,medium
medium,high,low,low,low,low,medium,128.019,304840,high
medium,high,low,low,low,low,medium,99.331,195520,high
low,high,low,low,low,low,low,163.366,239053,medium
medium,high,low,low,low,low,medium,155.015,200880,medium
low,high,low,low,low,low,low,169.835,238680,high
low,high,low,low,low,medium,low,155.973,283467,medium
medium,high,low,low,low,low,low,122.252,299227,high
high,medium,low,high,low,low,high,123.497,173533,medium
medium,high,low,low,low,low,medium,99.331,195520,medium
low,high,low,low,low,low,low,163.366,239053,medium
medium,high,low,low,low,low,medium,155.015,200880,medium
low,high,low,low,low,low,low,96.95,311107,medium
low,high,low,low,low,low,low,169.835,238680,medium
medium,high,low,low,low,low,low,105.825,184000,medium
medium,medium,low,medium,low,low,low,74.984,142973,medium
low,high,low,low,low,low,low,208.951,279027,medium
low,high,low,low,low,medium,low,155.973,283467,medium
medium,high,low,low,low,low,high,111.647,161920,medium
medium,high,low,low,low,low,low,174.07,295000,medium
medium,high,low,low,low,low,low,122.252,299227,medium
high,medium,low,high,low,low,high,123.497,173533,medium
low,high,low,low,low,low,low,94.913,229480,medium
medium,high,low,low,low,low,medium,102.553,262267,medium
low,high,low,low,high,low,medium,169.257,167147,medium
medium,high,low,low,low,low,medium,105.128,239853,medium
medium,high,low,low,medium,medium,medium,106.915,165000,medium
medium,high,low,low,low,low,medium,161.034,182960,medium
low,high,low,low,low,low,low,158.517,240733,medium
medium,high,low,low,low,low,medium,106.248,171973,low
medium,high,low,low,low,low,medium,171.763,191693,medium
medium,high,low,low,low,medium,medium,99.803,241987,low
medium,medium,low,high,low,low,low,74.363,193667,medium
medium,high,low,low,low,low,medium,139.715,296733,medium
medium,high,low,low,low,low,low,125.92,272773,medium
medium,high,low,low,low,medium,medium,162.954,215960,medium
medium,high,low,low,low,low,low,136.9,230427,medium
medium,high,low,low,low,medium,low,155.031,268427,medium
medium,high,low,low,low,low,medium,130.031,246720,medium
medium,high,low,low,medium,low,low,100.038,272907,medium
medium,high,low,low,low,low,medium,120.007,324973,medium
low,high,low,low,low,low,medium,183.718,218120,medium
medium,high,low,low,low,low,medium,108.591,231097,medium
low,high,low,low,low,low,low,98.416,326507,medium
low,high,low,low,low,medium,medium,127.331,263813,medium
low,high,low,low,low,low,medium,142.407,125627,medium
low,high,low,low,low,medium,low,112.225,208173,medium
medium,high,low,low,low,medium,medium,122.58,203147,medium
medium,high,low,low,low,low,medium,128.974,305053,medium
low,high,low,low,low,medium,medium,119.088,132547,medium
low,high,low,low,low,low,medium,98.918,231853,medium
medium,high,low,low,low,low,medium,100.137,200787,medium
low,high,low,low,low,low,medium,108.153,233120,medium
low,high,low,low,low,low,low,98.951,326347,medium
medium,high,low,low,low,low,low,125.939,205920,medium
medium,high,low,low,low,low,medium,185.936,175080,medium
low,high,low,low,low,low,low,179.634,188187,medium
low,high,low,low,low,low,low,144.766,237067,medium
medium,medium,low,medium,low,low,low,74.992,144520,medium
low,high,low,low,low,low,low,208.71,279307,medium
medium,high,low,low,low,low,high,110.773,162200,medium
medium,high,low,low,low,low,low,122.348,300400,medium
medium,high,low,low,low,medium,medium,165.932,206227,medium
medium,high,low,low,low,low,medium,110.986,271333,medium
medium,high,low,low,low,medium,high,131.989,247080,medium
medium,high,low,low,low,low,low,120.009,326480,medium
low,high,low,low,low,low,low,117.706,210493,low
low,high,low,low,low,low,low,134.093,134320,low
low,high,low,low,low,low,low,99.754,239600,low
medium,high,low,low,low,low,low,125.921,204733,high
low,high,low,low,low,low,low,183.773,138840,medium
medium,high,low,low,low,medium,medium,162.967,181027,medium
low,high,low,low,low,low,low,179.722,186480,high
low,high,low,low,low,medium,low,145.781,194253,high
