danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity
medium,high,low,low,low,medium,medium,127.013,171533,medium
high,high,low,low,low,low,medium,127.914,200920,low
medium,high,low,low,low,low,low,131.876,204115,medium
medium,high,low,low,low,medium,high,125.083,219987,high
high,medium,low,low,low,low,high,130.024,203240,low
medium,high,low,low,low,high,medium,128.023,178321,low
high,high,low,low,low,high,medium,128.038,180000,low
high,high,low,low,low,medium,medium,122.134,196617,low
high,high,low,low,low,medium,high,127.916,217270,medium
high,high,low,low,low,medium,medium,127.967,183089,medium
high,high,low,low,low,low,high,125.135,216933,high
low,high,low,low,low,low,high,169.39,219800,medium
high,medium,low,low,low,low,high,100.315,177685,medium
high,medium,low,low,low,low,low,125.082,222200,medium
high,high,low,low,low,medium,high,130.072,201000,medium
high,high,low,low,low,medium,medium,135.956,229507,medium
high,medium,low,low,low,low,medium,130.025,240907,medium
high,high,low,low,low,low,high,125.008,210627,high
high,high,low,low,low,low,high,128.001,211920,low
medium,high,low,low,low,low,low,87.016,231212,high
medium,high,low,low,low,low,low,126.062,245040,high
high,medium,low,low,low,low,medium,120.97,227833,medium
high,high,low,low,low,low,high,128.039,187507,low
medium,high,low,low,low,low,low,129.885,204360,medium
high,high,low,low,low,low,high,116.017,178560,high
medium,high,low,low,low,low,high,129.984,204200,medium
medium,high,low,low,low,low,medium,127.923,226987,medium
medium,high,low,low,low,high,medium,124.032,187027,medium
high,high,low,low,low,low,high,124.986,204640,high
medium,high,low,low,low,low,medium,127.934,212560,high
high,high,low,low,low,low,high,143.994,233478,high
medium,high,low,low,low,medium,medium,129.973,222500,high
high,high,low,low,low,low,high,125.916,157153,medium
high,high,low,low,low,low,high,106.008,185587,low
medium,medium,low,medium,low,low,low,75.089,252867,high
high,high,low,low,low,low,high,127.937,206413,high
high,high,low,low,low,low,medium,122.017,257840,high
high,high,low,low,low,low,high,127.99,166933,medium
medium,low,low,high,low,low,medium,72.795,213827,high
high,high,low,low,low,low,medium,125.038,203820,medium
medium,high,low,low,low,low,low,169.533,209440,high
high,medium,low,low,high,low,low,128.0,258750,medium
medium,high,low,low,low,low,medium,124.008,206373,low
medium,high,low,low,low,low,medium,127.961,217347,medium
high,high,low,low,low,low,high,90.048,238560,medium
medium,high,low,low,low,medium,high,128.326,191007,medium
high,high,low,low,low,medium,high,127.01,216440,medium
high,high,low,low,low,low,high,127.967,179789,low
medium,high,low,low,low,low,low,143.887,228053,medium
high,high,low,low,low,low,high,128.001,182657,medium
high,high,low,low,low,low,high,128.002,221387,low
high,high,low,low,low,low,medium,110.026,215253,high
high,high,low,low,low,low,medium,127.981,277799,medium
medium,medium,low,low,low,low,medium,128.968,211027,low
medium,high,low,low,low,low,low,125.972,355545,medium
medium,high,low,low,low,low,medium,90.074,210320,low
high,high,low,low,low,low,medium,128.062,240347,medium
medium,high,low,low,low,low,high,150.068,218093,medium
high,high,low,low,low,low,high,129.99,232533,low
high,high,low,low,low,low,medium,127.006,169355,low
high,high,low,low,low,low,high,131.608,190494,low
medium,high,low,low,low,low,medium,127.962,167143,low
high,high,low,low,low,low,high,127.968,206787,low
high,high,low,low,low,high,high,128.025,185649,medium
high,medium,medium,low,low,low,low,98.986,203200,medium
high,high,low,low,low,medium,medium,126.951,210000,medium
medium,high,low,low,low,medium,medium,127.013,171533,medium
high,high,low,low,low,low,medium,127.914,200920,low
medium,high,low,low,low,low,low,131.876,204115,medium
medium,high,low,low,low,medium,high,125.083,219987,high
high,medium,low,low,low,low,high,130.024,203240,low
medium,high,low,low,low,high,medium,128.023,178321,low
high,high,low,low,low,high,medium,128.038,180000,low
high,high,low,low,low,medium,medium,122.134,196617,low
high,high,low,low,low,medium,high,127.916,217270,medium
high,high,low,low,low,medium,medium,127.967,183089,medium
medium,high,low,low,low,medium,medium,128.037,212467,low
medium,high,low,low,low,low,medium,127.982,196293,low
high,medium,low,low,low,low,low,109.944,239120,medium
high,high,low,low,low,medium,medium,103.038,229640,high
high,medium,low,low,low,medium,high,130.002,210267,high
high,high,low,low,low,low,high,122.989,200813,medium
medium,high,low,low,low,low,medium,129.055,167398,low
medium,high,low,low,low,low,low,127.983,207600,low
high,high,low,low,low,low,high,124.982,194583,medium
medium,low,low,high,low,low,low,174.117,189507,high
medium,medium,low,high,low,low,low,121.249,229720,medium
medium,high,low,medium,low,low,medium,107.862,203889,medium
medium,medium,low,high,low,low,medium,89.834,167657,low
medium,high,low,low,low,low,low,125.191,283267,low
medium,medium,low,low,low,low,medium,101.4,228867,medium
low,high,low,low,low,low,medium,167.467,189480,medium
high,medium,low,low,low,low,medium,121.93,224773,medium
medium,high,low,low,low,low,medium,110.98,270387,medium
high,high,low,low,low,low,medium,107.043,165400,low
medium,medium,low,medium,high,low,low,114.341,231682,low
high,high,low,low,low,high,high,130.478,214520,low
high,medium,low,low,low,medium,high,131.939,230547,low
medium,medium,low,low,medium,medium,low,121.111,310400,medium
high,high,low,low,low,low,high,132.088,301587,low
high,medium,medium,low,low,low,high,77.931,209013,low
high,medium,low,low,low,low,high,160.747,181400,low
high,high,low,low,medium,medium,medium,120.773,257253,low
high,high,low,low,low,low,high,125.508,319480,medium
low,medium,low,low,low,low,low,151.664,276093,low
high,high,low,low,low,low,medium,127.975,166963,medium
medium,high,low,low,low,low,medium,127.979,174667,low
medium,high,low,low,low,medium,medium,207.686,234133,low
high,high,low,low,low,low,high,128.016,232800,medium
high,high,low,low,low,low,medium,128.041,200526,low
high,high,low,low,low,low,high,122.017,200387,low
medium,high,low,low,low,low,low,127.983,186892,medium
medium,high,low,low,low,low,low,127.993,232027,medium
medium,high,low,low,low,low,medium,132.06,181787,medium
medium,high,low,low,low,low,medium,110.968,183240,medium
high,high,low,low,low,low,medium,117.969,199987,medium
medium,high,low,low,low,low,medium,128.987,187126,low
high,high,low,low,low,medium,high,127.101,194453,medium
medium,high,low,low,low,low,medium,175.017,182333,medium
medium,high,low,low,low,medium,medium,128.025,185625,medium
medium,high,low,low,low,low,medium,127.952,189375,medium
high,high,low,low,low,high,high,127.957,232046,medium
medium,high,low,low,low,medium,medium,128.082,195418,medium
high,high,low,low,low,low,high,127.988,237267,high
high,high,low,low,high,low,medium,124.98,190762,low
high,high,low,low,low,low,high,126.98,222040,low
high,high,low,low,medium,high,high,127.941,222187,medium
high,medium,low,medium,low,low,medium,101.953,151618,low
high,medium,low,low,low,medium,high,113.994,208457,low
high,medium,low,low,low,low,medium,111.956,203036,low
medium,medium,low,low,low,low,medium,109.942,175161,low
medium,high,low,low,low,low,high,133.769,200480,high
high,medium,low,low,low,low,high,149.98,218000,low
high,medium,low,low,low,low,high,132.004,175909,low
high,medium,low,low,low,low,medium,127.999,279507,high
medium,high,low,low,low,low,medium,128.007,201900,low
medium,high,low,low,low,low,low,128.061,218086,low
high,high,low,low,low,low,high,128.06,188640,low
high,high,low,low,low,low,high,126.996,291330,low
high,high,low,low,low,low,high,128.084,199053,low
high,high,low,low,low,high,medium,127.974,192573,low
high,high,low,low,low,medium,high,128.052,210361,low
medium,high,low,low,low,low,medium,127.995,204387,medium
high,high,low,low,low,low,high,127.088,207440,low
high,high,low,low,low,low,high,128.036,195727,medium
high,high,low,low,low,low,medium,127.978,280337,low
